iter	Accuracy	MultiClass
0	0.9691940884	0.6842483464
1	0.9724102946	0.6754927538
2	0.9719706449	0.6669073203
3	0.9719402076	0.6584142159
4	0.972477933	0.6500975429
5	0.9721870878	0.6420221103
6	0.9720281376	0.6340982505
7	0.9723629477	0.6262425173
8	0.9722073793	0.6185426931
9	0.9724136765	0.6110154368
10	0.9722479624	0.6036205482
11	0.9723764754	0.5963086958
12	0.9722344347	0.5891530408
13	0.972136359	0.5821384602
14	0.9720382833	0.5752054108
15	0.9720247557	0.5684235548
16	0.9721634144	0.5617353385
17	0.9722073793	0.5550849035
18	0.9722479624	0.5486233769
19	0.9721972336	0.5422902116
20	0.9722682539	0.5360344966
21	0.9724305861	0.5298604156
22	0.9723663296	0.5238295713
23	0.9722682539	0.5179165763
24	0.9721025398	0.512105115
25	0.9721904697	0.5063724369
26	0.9723528019	0.5007270383
27	0.972393385	0.4951712838
28	0.9726199736	0.4896640036
29	0.9724880787	0.4842937086
30	0.9724136765	0.4789499192
31	0.9725016064	0.4737400005
32	0.9727045216	0.4685822052
33	0.9725421895	0.4635387401
34	0.9725861544	0.4585410615
35	0.9726537928	0.4536203855
36	0.9725049883	0.448787379
37	0.972390003	0.4440926344
38	0.9723325104	0.4394166962
39	0.9722986912	0.434800152
40	0.9723291285	0.4303296292
41	0.9723189827	0.4258054707
42	0.972393385	0.4213865428
43	0.9723730934	0.4170344756
44	0.9724407318	0.4126817324
45	0.9725523352	0.4084408603
46	0.9726673205	0.4041796004
47	0.9727484866	0.4000129473
48	0.9727620143	0.3959651062
49	0.9727281951	0.3920094441
