iter	Passed	Remaining
0	456	22361
1	868	20838
2	1271	19916
3	1668	19190
4	2143	19294
5	2617	19194
6	3072	18873
7	3542	18597
8	3994	18198
9	4495	17982
10	4952	17558
11	5439	17224
12	5962	16969
13	6481	16666
14	7078	16517
15	7564	16074
16	8049	15626
17	8466	15051
18	8917	14549
19	9381	14072
20	9786	13514
21	10263	13062
22	10806	12685
23	11289	12230
24	11857	11857
25	12372	11420
26	12932	11016
27	13508	10614
28	14036	10164
29	14505	9670
30	15008	9198
31	15497	8717
32	16007	8246
33	16705	7861
34	17329	7426
35	17887	6956
36	18437	6478
37	18994	5998
38	19557	5516
39	20105	5026
40	20596	4521
41	21122	4023
42	21590	3514
43	22025	3003
44	22454	2494
45	22949	1995
46	23412	1494
47	23853	993
48	24284	495
49	24711	0
