iter	RMSE
0	431722.4902
1	429583.9649
2	427544.1032
3	425412.1753
4	423513.9152
5	421533.2345
6	419520.4296
7	417568.9122
8	415625.2741
9	413810.9191
10	412056.563
11	410155.0695
12	408276.0836
13	406167.7739
14	404038.0636
15	402143.1567
16	400545.2971
17	398799.8978
18	396956.3075
19	395047.7503
20	393400.849
21	391643.8324
22	389878.4944
23	388185.3306
24	386297.5922
25	384512.666
26	382635.6521
27	380906.585
28	379080.985
29	377426.3409
30	375890.5147
31	374515.8066
32	372850.9336
33	371392.1093
34	369841.8061
35	368318.6037
36	366773.2829
37	365159.3037
38	363523.7125
39	362035.1617
40	360630.0951
41	359071.2497
42	357732.7759
43	356275.5132
44	354809.5897
45	353438.0818
46	351945.8358
47	350605.4725
48	349249.3651
49	347896.5667
50	346581.5951
51	345056.2191
52	343606.4633
53	342278.176
54	341077.9912
55	339735.5069
56	338381.9741
57	337101.5245
58	335918.5988
59	334789.6914
60	333490.0659
61	332248.2717
62	330869.5439
63	329591.1533
64	328378.2588
65	327046.8741
66	325920.4409
67	324695.5605
68	323505.1001
69	322328.8722
70	321356.6231
71	320212.3406
72	319105.3148
73	318063.5803
74	316984.359
75	315803.8661
76	314681.7328
77	313568.6671
78	312469.805
79	311485.673
80	310413.3618
81	309520.3334
82	308517.9366
83	307453.6275
84	306350.782
85	305276.5748
86	304239.1951
87	303284.9667
88	302234.7942
89	301265.2155
90	300291.1824
