iter	Passed	Remaining
0	8	4300
1	15	3971
2	72	11984
3	533	66192
4	557	55167
5	594	48978
6	633	44626
7	654	40262
8	665	36325
9	675	33078
10	682	30325
11	1136	46230
12	1191	44648
13	1219	42342
14	1247	40330
15	1696	51331
16	1995	56704
17	2140	57306
18	2151	54468
19	2158	51797
20	2223	50719
21	2758	59944
22	2999	62200
23	3004	59589
24	3220	61191
25	3327	60656
26	3332	58375
27	3363	56699
28	3381	54918
29	3384	53019
30	3389	51275
31	3406	49827
32	3413	48307
33	3868	53021
34	3891	51704
35	4019	51812
36	4054	50734
37	4073	49520
38	4137	48907
39	4858	55876
40	5323	59593
41	5379	58663
42	5992	63683
43	6602	68427
44	6612	66864
45	7240	71456
46	7246	69846
47	7915	74539
48	7925	72949
49	8561	77056
50	8567	75427
51	8570	73840
52	8575	72328
53	8631	71290
54	9267	74980
55	9379	74365
56	9386	72948
57	9392	71574
58	10048	75107
59	10711	78552
60	10722	77163
61	10728	75792
62	10746	74541
63	10753	73261
64	11456	76672
65	11474	75455
66	11505	74353
67	12151	77194
68	12169	76013
69	12200	74947
70	12205	73748
71	12217	72628
72	12228	71527
73	12853	73994
74	13071	74071
75	13081	72980
76	13087	71898
77	13115	70959
78	13751	73285
79	14404	75625
80	14410	74543
81	15116	77057
82	15228	76510
83	15870	78595
84	15927	77761
85	16037	77204
86	16737	79452
87	16743	78392
88	16748	77343
89	16765	76375
90	16796	75492
91	16927	75070
92	17587	76966
93	17591	75978
94	18272	77899
95	18923	79637
96	19035	79085
97	19487	79939
98	20117	81486
99	20749	82998
100	21419	84617
101	21457	83726
102	21490	82833
103	22210	84569
104	22270	83780
105	22325	82984
106	22332	82023
107	23007	83508
108	23025	82597
109	23479	83247
110	23509	82390
111	23512	81454
112	24143	82685
113	24147	81762
114	24152	80857
115	24161	79983
116	24217	79276
117	24328	78757
118	24331	77901
119	24334	77058
120	25016	78358
121	25087	77730
122	25757	78946
123	25761	78114
124	26222	78666
125	26876	79776
126	26909	79032
127	26941	78298
128	26947	77500
129	26957	76725
130	27617	77793
131	28259	78784
132	28300	78093
133	28782	78616
134	28811	77896
135	28914	77389
136	29023	76902
137	29249	76726
138	29880	77602
139	29885	76849
140	29942	76237
141	30604	77158
142	31271	78068
143	31951	78990
144	32634	79897
145	33303	80748
146	33321	80016
147	33968	80789
148	34617	81548
149	35267	82290
150	36009	83227
151	36018	82462
152	36022	81698
153	36702	82460
154	36708	81705
155	37384	82437
156	37387	81681
157	37444	81050
158	37473	80368
159	38141	81051
160	38813	81726
161	39291	81978
162	39977	82653
163	40659	83301
164	41318	83888
165	41336	83170
166	42008	83766
167	42019	83038
168	42746	83722
169	43420	84287
170	44055	84760
171	44727	85294
172	44734	84556
173	44765	83870
174	44768	83142
175	45445	83661
176	46148	84213
177	46814	84687
178	47488	85160
179	48165	85627
180	48196	84943
181	48225	84262
182	48236	83556
183	48241	82848
184	48907	83274
185	48911	82570
186	48915	81875
187	49621	82349
188	50344	82842
189	51055	83300
190	51719	83671
191	52459	84154
192	52464	83453
193	53157	83846
194	53219	83241
195	53227	82556
196	53885	82879
197	54558	83214
198	54561	82527
199	55228	82842
200	55261	82204
201	55912	82484
202	56631	82855
203	56903	82565
204	57576	82853
205	57700	82349
206	58364	82612
207	58371	81944
208	58378	81283
209	59038	81528
210	59148	81014
211	59871	81335
212	60550	81586
213	60582	80964
214	60589	80315
215	61249	80531
216	61279	79918
217	61940	80125
218	62659	80398
219	62667	79758
220	63439	80088
221	64117	80291
222	64768	80452
223	65446	80639
224	66115	80808
225	66884	81090
226	67612	81313
227	68372	81566
228	69056	81722
229	69790	81928
230	70602	82216
231	71282	82343
232	71293	81696
233	71298	81048
234	71978	81167
235	72041	80588
236	72058	79963
237	72282	79571
238	73025	79747
239	73742	79888
240	73748	79256
241	73761	78638
242	74467	78758
243	75206	78905
244	75899	78997
245	75933	78403
246	75951	77795
247	76174	77402
248	76897	77514
249	77631	77631
250	78327	77702
251	78996	77742
252	79003	77130
253	79009	76520
254	79011	75913
255	79022	75317
256	79732	75389
257	79756	74810
258	79761	74218
259	79828	73687
260	80505	73719
261	80517	73141
262	81036	73025
263	81687	73023
264	82327	73007
265	82976	72993
266	83624	72975
267	84314	72989
268	84997	72990
269	85686	72992
270	86401	73010
271	87055	72972
272	87781	72990
273	87785	72407
274	88043	72035
275	88730	72013
276	88736	71437
277	89378	71374
278	89409	70822
279	90081	70778
280	90736	70716
281	91448	70694
282	92154	70662
283	92851	70619
284	92862	70053
285	93524	69979
286	93528	69413
287	93530	68849
288	93534	68290
289	94197	68212
290	94202	67657
291	94914	67610
292	95634	67564
293	95639	67012
294	95641	66462
295	96310	66376
296	96320	65835
297	96337	65302
298	96342	64765
299	97022	64681
300	97254	64298
301	97954	64221
302	98660	64145
303	99359	64060
304	100073	63981
305	100773	63889
306	101457	63782
307	101490	63266
308	101521	62752
309	102251	62670
310	102268	62150
311	102275	61627
312	102292	61114
313	103016	61022
314	103034	60512
315	103711	60389
316	104399	60268
317	104433	59769
318	105116	59643
319	105852	59542
320	106541	59410
321	106549	58899
322	107234	58763
323	107934	58631
324	108638	58497
325	109364	58372
326	110050	58222
327	110507	57949
328	111193	57793
329	111892	57641
330	112613	57497
331	112618	56987
332	112636	56487
333	113344	56333
334	113347	55827
335	113408	55354
336	113425	54861
337	113538	54417
338	113761	54028
339	114429	53849
340	114879	53565
341	114883	53074
342	114887	52586
343	115552	52401
344	116275	52239
345	116943	52050
346	117618	51860
347	117849	51474
348	118517	51278
349	118521	50794
350	118524	50313
351	119203	50119
352	119920	49938
353	119924	49460
354	120586	49253
355	120619	48789
356	121293	48585
357	121987	48386
358	122677	48182
359	122681	47709
360	123381	47507
361	124048	47289
362	124501	46988
363	124508	46519
364	124510	46051
365	125174	45828
366	125901	45626
367	126718	45453
368	127414	45233
369	128097	45007
370	128100	44541
371	128796	44317
372	129638	44139
373	130460	43951
374	130914	43638
375	130916	43174
376	130920	42714
377	130939	42260
378	130946	41806
379	131606	41559
380	132285	41317
381	132292	40865
382	132309	40418
383	132317	39970
384	132336	39529
385	132342	39085
386	132998	38834
387	133003	38392
388	133006	37953
389	133693	37708
390	133696	37270
391	133703	36836
392	133720	36407
393	134388	36155
394	135061	35902
395	135704	35639
396	136365	35379
397	137058	35125
398	137293	34753
399	137948	34487
400	137951	34057
401	137982	33637
402	138634	33368
403	138641	32944
404	139294	32673
405	139304	32252
406	139956	31980
407	139961	31559
408	140663	31296
409	140722	30890
410	140725	30473
411	141414	30204
412	142061	29925
413	142282	29556
414	142955	29280
415	143624	29001
416	143632	28588
417	144338	28315
418	144369	27909
419	145023	27623
420	145474	27298
421	145504	26894
422	146161	26606
423	146194	26204
424	146196	25799
425	146842	25507
426	147536	25222
427	147542	24820
428	147548	24419
429	147553	24020
430	147570	23625
431	147577	23229
432	147579	22835
433	148252	22545
434	148366	22169
435	148372	21779
436	149014	21482
437	149019	21094
438	149696	20800
439	150353	20502
440	151053	20208
441	151709	19907
442	152369	19605
443	152373	19218
444	153022	18912
445	153137	18541
