iter	Passed	Remaining
0	844	83604
1	1608	78839
2	2371	76680
3	3162	75890
4	4080	77526
5	5185	81241
6	6177	82069
7	7112	81794
8	8107	81973
9	8930	80372
10	9719	78635
11	10543	77321
12	11420	76432
13	12236	75168
14	13044	73917
15	13845	72686
16	14726	71897
17	15870	72298
18	16758	71443
19	17674	70697
20	18592	69942
21	19684	69790
22	20516	68686
23	21318	67509
24	22091	66274
25	22952	65327
26	23788	64317
27	24601	63261
28	25484	62393
29	26400	61601
30	27273	60704
31	28066	59640
32	28874	58623
33	29631	57520
34	30602	56832
35	31472	55950
36	32250	54912
37	33067	53952
38	33935	53079
39	34831	52247
40	35686	51353
41	36568	50499
42	37507	49718
43	38357	48818
44	39294	48026
45	40100	47074
46	41017	46253
47	41940	45435
48	42912	44664
49	43804	43804
50	44615	42865
51	45410	41917
52	46207	40976
53	46888	39942
54	47543	38899
55	48323	37968
56	49091	37034
57	49895	36130
58	50738	35259
59	51396	34264
60	52091	33304
61	52944	32449
62	53777	31583
63	54714	30777
64	55697	29991
65	56587	29151
66	57354	28249
67	58347	27457
68	59195	26594
69	60113	25762
70	61018	24922
71	61979	24102
72	62745	23207
73	63568	22334
74	64330	21443
75	65102	20558
76	65996	19713
77	66786	18837
78	67572	17962
79	68384	17096
80	69236	16240
81	70056	15378
82	70864	14514
83	71660	13649
84	72465	12788
85	73311	11934
86	74182	11084
87	75044	10233
88	75835	9372
89	76721	8524
90	77589	7673
91	78570	6832
92	79409	5977
93	80269	5123
94	81078	4267
95	81868	3411
96	82624	2555
97	83432	1702
98	84289	851
99	85075	0
